"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"1",0,20141013,221900,3,1,1180,5650,1,0,0,3,7,1180,1955,0,98178,47.5112,-122.257,1340,5650
"2",1,20150225,180000,2,1,770,10000,1,0,0,3,6,770,1933,0,98028,47.7379,-122.233,2720,8062
"3",2,20150218,510000,3,2,1680,8080,1,0,0,3,8,1680,1987,0,98074,47.6168,-122.045,1800,7503
"4",3,20140627,257500,3,2.25,1715,6819,2,0,0,3,7,1715,1995,0,98003,47.3097,-122.327,2238,6819
"5",4,20150115,291850,3,1.5,1060,9711,1,0,0,3,7,1060,1963,0,98198,47.4095,-122.315,1650,9711
"6",5,20150403,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1965,0,98007,47.6007,-122.145,2210,8925
"7",6,20140527,468000,2,1,1160,6000,1,0,0,4,7,860,1942,0,98115,47.69,-122.292,1330,6000
"8",7,20140528,310000,3,1,1430,19901,1.5,0,0,4,7,1430,1927,0,98028,47.7558,-122.229,1780,12697
"9",8,20141007,4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,1977,0,98074,47.6127,-122.045,1370,10208
"10",9,20150312,530000,5,2,1810,4850,1.5,0,0,3,7,1810,1900,0,98107,47.67,-122.394,1360,4850
"11",10,20150124,650000,4,3,2950,5000,2,0,3,3,9,1980,1979,0,98126,47.5714,-122.375,2140,4000
"12",11,20140731,395000,3,2,1890,14040,2,0,0,3,7,1890,1994,0,98019,47.7277,-121.962,1890,14018
"13",12,20140529,485000,4,1,1600,4300,1.5,0,0,4,7,1600,1916,0,98103,47.6648,-122.343,1610,4300
"14",13,20141205,189000,2,1,1200,9850,1,0,0,4,7,1200,1921,0,98002,47.3089,-122.21,1060,5095
"15",14,20150424,230000,3,1,1250,9774,1,0,0,4,7,1250,1969,0,98003,47.3343,-122.306,1280,8850
"16",15,20140514,385000,4,1.75,1620,4980,1,0,0,4,7,860,1947,0,98133,47.7025,-122.341,1400,4980
"17",16,20140826,2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,1968,0,98040,47.5316,-122.233,4110,20336
"18",17,20140516,252700,2,1.5,1070,9643,1,0,0,3,7,1070,1985,0,98030,47.3533,-122.166,1220,8386
"19",18,20141120,329000,3,2.25,2450,6500,2,0,0,4,8,2450,1985,0,98030,47.3739,-122.172,2200,6865
"20",19,20141103,233000,3,2,1710,4697,1.5,0,0,5,6,1710,1941,0,98002,47.3048,-122.218,1030,4705
"21",20,20140626,937000,3,1.75,2450,2691,2,0,0,3,8,1750,1915,0,98119,47.6386,-122.36,1760,3573
"22",21,20141201,667000,3,1,1400,1581,1.5,0,0,5,8,1400,1909,0,98112,47.6221,-122.314,1860,3861
"23",22,20141110,580500,3,2.5,2320,3980,2,0,0,3,8,2320,2003,0,98027,47.5391,-122.07,2580,3980
"24",23,20140624,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,1929,0,98117,47.6823,-122.368,1460,5000
"25",24,20141110,535000,3,1,1090,3000,1.5,0,0,4,8,1090,1929,0,98117,47.6889,-122.375,1570,5080
"26",25,20141203,322500,4,2.75,2060,6659,1,0,0,3,7,1280,1981,0,98058,47.4276,-122.157,2020,8720
"27",26,20140613,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,1930,2002,98115,47.6827,-122.31,1590,3264
"28",27,20141230,640000,4,2,2360,6000,2,0,0,4,8,2360,1904,0,98107,47.6702,-122.362,1730,4700
"29",28,20150213,240000,4,1,1220,8075,1,0,0,2,7,890,1969,0,98001,47.3341,-122.282,1290,7800
"30",29,20140620,605000,4,2.5,2620,7553,2,0,0,3,8,2620,1996,0,98056,47.5301,-122.18,2620,11884
"31",30,20140811,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1984,0,98166,47.445,-122.347,2410,30617
"32",31,20140707,861990,5,2.75,3595,5639,2,0,0,3,9,3595,2014,0,98053,47.6848,-122.016,3625,5639
"33",32,20141028,685000,3,1,1570,2280,2,0,0,3,7,1570,1922,0,98119,47.6413,-122.364,1580,2640
"34",33,20150325,210490,3,1,990,8528,1,0,0,3,6,990,1966,0,98023,47.3066,-122.371,1228,8840
"35",34,20140716,785000,4,2.5,2290,13416,2,0,0,4,9,2290,1981,0,98007,47.6194,-122.151,2680,13685
"36",35,20141231,6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,1950,0,98117,47.6808,-122.384,1410,4080
"37",36,20140512,885000,4,2.5,2830,5000,2,0,0,3,9,2830,1995,0,98105,47.6597,-122.29,1950,5000
"38",37,20140819,292500,4,2.5,2250,4495,2,0,0,3,7,2250,2008,0,98042,47.3663,-122.114,2250,4500
"39",38,20150407,301000,3,2.5,2420,4750,2,0,0,3,8,2420,2003,0,98042,47.3663,-122.122,2690,4750
"40",39,20140827,951000,5,3.25,3250,14342,2,0,4,4,8,3250,1968,0,98008,47.588,-122.116,2960,11044
"41",40,20141210,650000,3,2.25,2150,21235,1,0,3,4,8,1590,1959,0,98166,47.4336,-122.339,2570,18900
"42",41,20140828,289000,3,1.75,1260,8400,1,0,0,3,7,1260,1954,0,98148,47.4366,-122.335,1290,8750
"43",42,20141207,549000,3,1.75,1540,1044,3,0,0,3,8,1540,2014,0,98115,47.6765,-122.32,1580,3090
"44",43,20140603,425000,3,2.25,1660,6000,1,0,0,3,7,1110,1979,0,98122,47.6113,-122.297,1440,4080
"45",44,20140909,975000,4,2.5,2720,11049,2,0,0,3,10,2720,1989,0,98004,47.5815,-122.192,2750,11049
"46",45,20141009,287000,4,2.5,2240,4648,2,0,0,3,7,2240,2005,0,98001,47.3378,-122.257,2221,4557
"47",46,20140825,204000,3,1,1000,12070,1,0,0,4,7,1000,1968,0,98042,47.3621,-122.11,1010,12635
"48",47,20140912,1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1973,0,98005,47.6525,-122.16,3530,38917
"49",48,20150105,325000,3,2,1260,5612,1,0,0,4,7,1260,1972,0,98034,47.7362,-122.179,1640,4745
"50",49,20140610,571000,4,2,2750,7807,1.5,0,0,5,7,2250,1916,0,98125,47.7168,-122.287,1510,7807
"51",50,20150316,349000,3,1.75,1790,50529,1,0,0,5,7,1090,1965,0,98042,47.3511,-122.073,1940,50529
"52",51,20141105,832500,4,4,3430,35102,2,0,0,4,10,2390,1986,0,98075,47.5822,-121.987,3240,35020
"53",52,20140609,410000,3,1,1410,5060,1,0,0,4,7,910,1956,0,98133,47.7073,-122.34,1130,5693
