id,date,price,sqft_living,yr_built,floor
0,201805,291000,127.78,1984,8
1,201805,103500,117.49,2004,1
2,201805,240000,121.74,2005,2
3,201805,224000,128.03,1983,11
4,201805,228500,128.01,1983,1
5,201805,207000,115.05,1985,1
6,201805,205000,115.05,1985,1
7,201805,138000,130.545,1999,11
8,201805,258000,134.9023,2006,17
9,201805,194000,106.78,2016,4
10,201805,149000,124.1,1995,3
11,201805,93000,120.21,1996,19
12,201805,167000,103.43,1998,8
13,201805,235000,113.31,2013,2
14,201805,114000,114.69,2011,7
15,201805,249500,108.47,1983,4
16,201805,150000,116.67,2007,9
17,201805,68500,116.82,2007,1
18,201805,72000,127.7,2004,2
19,201805,85000,125.11,2005,3
20,201805,47000,88.8,2003,4
21,201805,152000,91.77,2000,4
22,201805,149000,101.81,2014,14
23,201805,147000,100,1993,15
24,201805,145000,91.95,2014,11
25,201805,146000,91.96,2014,6
26,201805,137500,91.96,2014,8
27,201805,124500,101.51,2014,8
28,201806,162000,134.3,2004,8
29,201806,234000,119.58,2008,11
30,201806,189500,115.59,1984,10
31,201806,179000,114.59,1999,24
32,201806,190000,121.0894,2008,13
33,201806,217000,128.01,1983,1
34,201806,245000,128.01,1983,12
35,201806,243000,128.01,1983,6
36,201806,209000,115.05,1985,14
37,201806,96700,102.43,2004,4
38,201806,146500,114.96,2005,12
39,201806,172000,130.259,2007,16
40,201806,195000,126.46,1985,2
41,201806,215000,126.46,1985,7
42,201806,158000,110.453,2000,6
43,201806,137000,107.75,2004,2
44,201806,225500,108.88,1982,9
45,201806,177500,120.37,2010,8
46,201806,89000,114.01,2004,2
47,201806,193000,130.143,2006,10
48,201806,183000,134.71,1993,8
49,201806,200000,110.2,1992,12
50,201806,146000,101.81,2014,6
51,201806,142300,99.79,1993,9
52,201806,149000,101.97,1994,2
53,201807,160000,104.43,1984,11
54,201807,160000,133.46,1984,5
55,201807,132000,128.62,1984,2
56,201807,133000,114.498,2003,11
57,201807,134000,114.34,1997,2
58,201807,190000,108.52,2000,1
59,201807,228000,119.58,2008,16
60,201807,213000,114.97,2008,19
61,201807,255000,121.74,2005,7
62,201807,145000,107.91,2002,1
63,201807,230000,128.01,1983,4
64,201807,238500,128.01,1983,7
65,201807,190000,115.05,1985,6
66,201807,225000,126.33,1985,3
67,201807,85000,106.67,2004,2
68,201807,169000,130.259,2007,21
69,201807,206000,119.8906,2006,11
70,201807,233000,134.9023,2006,10
71,201807,243000,134.9023,2006,15
72,201807,217500,114.9931,2006,4
73,201807,225000,134.9023,2006,6
74,201807,200000,119.8906,2006,10
75,201807,250000,134.9023,2006,19
76,201807,193000,122.81,2001,6
77,201807,204500,126.46,1985,1
78,201807,171000,124.641,2004,26
79,201807,203000,122.485,2007,11
80,201807,215000,114.463,2008,10
81,201807,199000,108.06,1981,2
82,201807,152000,114.45,2014,10
83,201807,137000,129.45,1993,13
84,201807,217000,110.82,1982,3
85,201807,230000,109.24,1982,5
86,201807,220000,106.71,1980,9
87,201807,220000,106.71,1980,9
88,201807,231500,108.47,1983,9
89,201807,240000,105.45,1983,4
90,201807,119500,132.88,2003,9
91,201807,139000,107.6,1984,11
92,201807,130000,114.46,2014,3
93,201807,220000,110.2,1992,11
94,201807,169000,107.22,1999,8
95,201807,140000,102.69,2007,7
